Trial,ESN,Name,Lat,Lng,Timestamp,Datetime,Order ,ID ,,,,
1,331254,UNHCMB,43.091362,-70.860615,1342065300,7/11/12 23:55,125,LB21,,,,,0.02254249605397118
1,331254,UNHCMB,43.086973,-70.861044,1342063500,7/11/12 23:25,126,LB21,,,,,0.4889691221838309
1,331254,UNHCMB,43.087295,-70.861022,1342061760,7/11/12 22:56,127,LB21,,,,,0.035826803232339506
1,331254,UNHCMB,43.083884,-70.867653,1342059900,7/11/12 22:25,128,LB21,,,,,0.658251679968861
1,331254,UNHCMB,43.074013,-70.868039,1342058760,7/11/12 22:06,129,LB21,,,,,1.0973633420161621
1,331254,UNHCMB,43.069646,-70.868039,1342056360,7/11/12 21:26,130,LB21,,,,,0.4852833705433921
1,331254,UNHCMB,43.066374,-70.868962,1342054500,7/11/12 20:55,131,LB21,,,,,0.37124193568678066
1,331254,UNHCMB,43.065923,-70.869713,1342052700,7/11/12 20:25,132,LB21,,,,,0.07892412316456188
1,331254,UNHCMB,43.065333,-70.869885,1342050900,7/11/12 19:55,133,LB21,,,,,0.067034333649911
1,331254,UNHCMB,43.068756,-70.868468,1342049460,7/11/12 19:31,134,LB21,,,,,0.39739560473008523
1,331254,UNHCMB,43.073004,-70.869606,1342047360,7/11/12 18:56,135,LB21,,,,,0.4810138373305527
1,331254,UNHCMB,43.079088,-70.868661,1342045560,7/11/12 18:26,136,LB21,,,,,0.6804227371640952
1,331254,UNHCMB,43.087993,-70.862675,1342043760,7/11/12 17:56,137,LB21,,,,,1.102396766470987
1,331254,UNHCMB,43.096919,-70.859177,1342041960,7/11/12 17:26,138,LB21,,,,,1.0317208231245591
1,331254,UNHCMB,43.103206,-70.857246,1342040160,7/11/12 16:56,139,LB21,,,,,0.7159968379817986
1,331254,UNHCMB,43.11048,-70.856688,1342038360,7/11/12 16:26,140,LB21,,,,,0.809590790259708
1,331254,UNHCMB,43.118838,-70.864091,1342036500,7/11/12 15:55,141,LB21,,,,,1.1060183134320813
1,331254,UNHCMB,43.123924,-70.861366,1342034700,7/11/12 15:25,142,LB21,,,,,0.606864267106119
1,331254,UNHCMB,43.122357,-70.852504,1342032900,7/11/12 14:55,143,LB21,,,,,0.739577271073603
1,331254,UNHCMB,43.119439,-70.84641,1342031100,7/11/12 14:25,144,LB21,,,,,0.5911629151903667
1,331254,UNHCMB,43.11916,-70.843599,1342029300,7/11/12 13:55,145,LB21,,,,,0.23010908337682046
1,331254,UNHCMB,43.120158,-70.844715,1342027500,7/11/12 13:25,146,LB21,,,,,0.1431564162081857
1,331254,UNHCMB,43.122046,-70.850379,1342025700,7/11/12 12:55,147,LB21,,,,,0.5050543540208259
1,331254,UNHCMB,43.110019,-70.807014,1342023900,7/11/12 12:25,148,LB21,,,,,3.7630252555228
1,331254,UNHCMB,43.123248,-70.851989,1342022100,7/11/12 11:55,149,LB21,,,,,3.933300907090877
1,331254,UNHCMB,N/A,N/A,1342020300,7/11/12 11:25,150,LB21,,,,
2,331254,UNHCMB,N/A,N/A,1341955800,7/10/12 17:30,151,LB21,,,,
3,331254,UNHCMB,N/A,N/A,1341356100,7/3/12 18:55,152,LB22,,,,
3,331254,UNHCMB,N/A,N/A,1341354600,7/3/12 18:30,153,LB22,,,,
3,331254,UNHCMB,N/A,N/A,1341352860,7/3/12 18:01,154,LB22,,,,
3,331254,UNHCMB,43.069518,-70.713522,1341350760,7/3/12 17:26,155,LB22,,,,,12.723708545930494
3,331254,UNHCMB,43.070709,-70.713179,1341348960,7/3/12 16:56,156,LB22,,,,,0.13524731006186974
3,331254,UNHCMB,43.075107,-70.705433,1341347160,7/3/12 16:26,157,LB22,,,,,0.7963818583051175
3,331254,UNHCMB,N/A,N/A,1341345600,7/3/12 16:00,158,LB22,,,,
3,331254,UNHCMB,43.116349,-70.835724,1341341760,7/3/12 14:56,159,LB22,,,,,11.523068262150574
3,331254,UNHCMB,43.116349,-70.835745,1341339900,7/3/12 14:25,160,LB22,,,,,0.001703471631272882
3,331254,UNHCMB,43.11636,-70.835724,1341338100,7/3/12 13:55,161,LB22,,,,,0.002096668492835712
3,331254,UNHCMB,43.116328,-70.835702,1341336300,7/3/12 13:25,162,LB22,,,,,0.003978683376048203
3,331254,UNHCMB,43.116349,-70.835767,1341334500,7/3/12 12:55,163,LB22,,,,,0.005765992311509616
3,331254,UNHCMB,43.11636,-70.835681,1341333360,7/3/12 12:36,164,LB22,,,,,0.007082405802092247
3,331254,UNHCMB,43.116381,-70.835724,1341331260,7/3/12 12:01,165,LB22,,,,,0.004196710314486414
3,331254,UNHCMB,43.116424,-70.835681,1341329460,7/3/12 11:31,166,LB22,,,,,0.005916034335014406
3,331254,UNHCMB,43.116424,-70.835702,1341327360,7/3/12 10:56,167,LB22,,,,,0.0017034695434310844
3,331254,UNHCMB,43.116338,-70.835702,1341326160,7/3/12 10:36,168,LB22,,,,,0.009556759759128064
3,331254,UNHCMB,43.116306,-70.835724,1341323700,7/3/12 9:55,169,LB22,,,,,0.003978683664460224
3,331254,UNHCMB,43.116295,-70.835745,1341321960,7/3/12 9:26,170,LB22,,,,,0.002096669714170616
3,331254,UNHCMB,43.116295,-70.835681,1341320160,7/3/12 8:56,171,LB22,,,,,0.005191537171124594
3,331254,UNHCMB,43.116338,-70.835702,1341318360,7/3/12 8:26,172,LB22,,,,,0.00507294125246509
3,331254,UNHCMB,43.116317,-70.83566,1341316500,7/3/12 7:55,173,LB22,,,,,0.004129538388155899
3,331254,UNHCMB,43.116317,-70.835702,1341314700,7/3/12 7:25,174,LB22,,,,,0.003406945042104966
3,331254,UNHCMB,43.116338,-70.835724,1341312900,7/3/12 6:55,175,LB22,,,,,0.002937784550916721
3,331254,UNHCMB,43.116349,-70.835702,1341311100,7/3/12 6:25,176,LB22,,,,,0.002163091151894457
3,331254,UNHCMB,43.11636,-70.835724,1341309300,7/3/12 5:55,177,LB22,,,,,0.00216309088723002
3,331254,UNHCMB,43.116349,-70.835702,1341307500,7/3/12 5:25,178,LB22,,,,,0.00216309088723002
3,331254,UNHCMB,43.11636,-70.835724,1341305700,7/3/12 4:55,179,LB22,,,,,0.00216309088723002
3,331254,UNHCMB,43.11637,-70.83566,1341303900,7/3/12 4:25,180,LB22,,,,,0.005309131341541363
3,331254,UNHCMB,43.11636,-70.835681,1341302100,7/3/12 3:55,181,LB22,,,,,0.002033886221111836
3,331254,UNHCMB,43.116349,-70.835702,1341300300,7/3/12 3:25,182,LB22,,,,,0.002096668492835712
3,331254,UNHCMB,43.114032,-70.836668,1341298500,7/3/12 2:55,183,LB22,,,,,0.26913718083271454
3,331254,UNHCMB,43.117722,-70.837483,1341296700,7/3/12 2:25,184,LB22,,,,,0.41534695443065006
3,331254,UNHCMB,43.11636,-70.835702,1341294900,7/3/12 1:55,185,LB22,,,,,0.20923393060188106
3,331254,UNHCMB,43.116328,-70.835681,1341293160,7/3/12 1:26,186,LB22,,,,,0.0039429656214801795
3,331254,UNHCMB,43.116317,-70.835702,1341291300,7/3/12 0:55,187,LB22,,,,,0.00209666921700195
3,331254,UNHCMB,N/A,N/A,1341289560,7/3/12 0:26,188,LB22,,,,
3,331254,UNHCMB,43.116317,-70.83566,1341287760,7/2/12 23:56,189,LB22,,,,,0.003406945042104966
3,331254,UNHCMB,43.114321,-70.832891,1341285900,7/2/12 23:25,190,LB22,,,,,0.3156759936674781
3,331254,UNHCMB,43.116349,-70.835681,1341284160,7/2/12 22:56,191,LB22,,,,,0.3193894381362116
3,331254,UNHCMB,43.116306,-70.835724,1341282360,7/2/12 22:26,192,LB22,,,,,0.005916036855019181
3,331254,UNHCMB,43.116317,-70.835702,1341280560,7/2/12 21:56,193,LB22,,,,,0.002163091921827142
3,331254,UNHCMB,43.11637,-70.835702,1341278760,7/2/12 21:26,194,LB22,,,,,0.005889631014814878
3,331254,UNHCMB,43.116349,-70.83566,1341276960,7/2/12 20:56,195,LB22,,,,,0.004129536918683556
3,331254,UNHCMB,43.116349,-70.83566,1341275160,7/2/12 20:26,196,LB22,,,,,0.0
3,331254,UNHCMB,43.116349,-70.835702,1341273360,7/2/12 19:56,197,LB22,,,,,0.0034069432604817438
